1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,EnclosedPorch,Fireplaces,FullBath,GrLivArea,HalfBath,KitchenAbvGr,LotArea,LowQualFinSF,MiscVal,OpenPorchSF,OverallCond,OverallQual,PoolArea,ScreenPorch,TotRmsAbvGrd,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
1132,1320,0,4,0,1,3,2452,1,1,13418,0,0,32,5,8,0,0,9,113,2004,2005,309000
1097,0,0,3,0,0,1,1097,1,1,10859,0,0,64,5,5,0,0,6,392,1994,1995,145000
1297,0,0,3,0,1,1,1297,0,1,8532,0,0,0,6,5,0,0,5,0,1954,1990,153000
1057,0,0,3,0,0,1,1057,0,1,7922,0,0,52,7,5,0,0,5,0,1953,2007,109000
1152,0,0,2,0,0,2,1152,0,2,6040,0,0,0,5,4,0,0,6,0,1955,1955,82000
1324,0,0,3,0,1,2,1324,0,1,8658,0,0,138,5,6,0,0,6,0,1965,1965,160000
1328,0,0,2,0,2,1,1328,1,1,16905,0,0,104,6,5,0,0,5,0,1959,1959,170000
884,0,0,2,0,0,1,884,0,1,9180,0,0,0,7,5,0,0,5,240,1983,1983,144000
938,0,0,3,0,0,1,938,0,1,9200,0,0,0,6,5,0,0,5,145,1975,1980,130250
1150,0,0,3,0,0,1,1150,0,1,7945,0,0,0,6,5,0,0,6,0,1959,1959,141000
1752,0,0,2,0,1,2,1752,0,1,7658,0,0,82,5,9,0,0,6,196,2005,2005,319900
1518,631,0,1,0,1,1,2149,1,1,12822,0,0,43,5,7,0,198,6,168,2003,2003,239686
1656,0,0,3,0,0,2,1656,0,1,11096,0,0,146,5,8,0,0,7,0,2006,2006,249700
736,716,0,2,102,0,2,1452,0,3,4456,0,0,0,5,4,0,0,8,0,1920,2008,113000
955,0,0,3,0,0,1,955,0,1,7742,0,0,0,7,5,0,0,6,0,1966,1966,127000
794,676,0,3,0,0,2,1470,0,1,13869,0,0,75,6,6,0,0,6,0,1997,1997,177000
816,0,0,3,0,1,1,1176,0,1,6240,360,400,0,6,6,0,0,6,112,1934,1950,114500
816,0,0,2,0,0,1,816,0,1,8472,0,0,0,5,5,0,0,5,106,1963,1963,110000
1842,0,0,0,0,1,0,1842,1,1,50271,0,0,72,5,9,0,0,5,857,1981,1987,385000
1360,0,0,3,0,1,1,1360,0,1,7134,0,0,50,5,5,0,0,6,0,1955,1955,130000
1425,0,407,3,0,1,2,1425,0,1,10175,0,0,0,5,6,0,0,7,0,1964,1964,180500
983,756,0,3,0,0,2,1739,1,1,2645,0,0,0,5,8,0,0,7,115,1999,2000,172500
860,860,0,3,0,0,2,1720,1,1,11645,0,0,70,5,7,0,0,7,0,2004,2004,196500
1426,1519,0,3,37,1,3,2945,1,1,13682,0,0,0,5,10,0,0,10,192,2006,2006,438780
780,0,0,2,0,0,1,780,0,1,7200,0,0,0,7,5,0,0,4,196,1972,1972,124900
1158,0,0,3,0,0,1,1158,1,1,13072,0,0,50,5,6,0,0,5,0,2004,2004,158000
581,530,0,3,144,0,1,1111,0,1,7200,0,0,0,7,5,0,0,6,0,1920,1996,101000
1370,0,0,2,0,1,2,1370,0,1,6442,0,0,49,5,8,0,0,6,120,2006,2006,202500
902,808,0,3,64,0,2,1710,0,1,10300,0,0,11,6,7,0,0,9,12,1921,1950,140000
1057,977,0,3,0,0,2,2034,1,1,9375,0,0,36,5,7,0,0,8,576,1997,1998,219500
1143,1330,0,4,0,1,2,2473,1,1,9591,0,0,151,5,8,0,0,9,192,2004,2005,317000
2207,0,0,3,0,1,2,2207,0,1,19900,0,0,0,5,7,0,0,7,301,1970,1989,180000
1479,0,0,3,0,0,2,1479,0,1,10665,0,0,29,5,7,0,0,7,144,2003,2003,226000
747,0,0,2,0,0,1,747,0,1,4608,0,0,0,6,4,0,0,4,0,1945,1950,80000
1304,983,0,3,114,1,2,2287,0,1,15593,0,0,21,4,7,0,0,7,0,1953,1953,225000
2223,0,0,3,0,2,2,2223,0,1,13651,0,0,0,6,7,0,0,8,300,1973,1973,244000
845,0,0,2,0,0,1,845,0,1,7599,0,0,0,6,4,0,0,4,0,1982,2006,129500
885,833,0,3,0,1,2,1718,1,1,10141,0,0,94,5,7,0,291,7,0,1998,1998,185000
1086,0,0,3,0,0,1,1086,0,1,10200,0,0,0,7,5,0,0,6,0,1954,2003,144900
840,765,0,3,202,0,2,1605,0,2,5790,0,0,0,6,3,0,0,8,0,1915,1950,107400
526,462,0,2,0,0,1,988,0,1,1596,0,0,101,5,4,0,0,5,120,1973,1973,91000
952,0,0,2,0,0,1,952,0,1,8475,0,0,0,7,4,0,0,4,0,1956,1956,135750
1072,213,0,2,0,0,1,1285,0,1,8635,0,0,0,5,5,0,0,6,0,1948,2001,127000
1768,0,0,4,0,0,2,1768,0,2,10778,0,0,0,5,4,0,0,8,0,1968,1968,136500
682,548,0,2,128,0,1,1230,1,1,10440,0,0,0,6,5,0,0,5,74,1910,1981,110000
1182,960,0,4,0,1,2,2142,1,1,13000,0,0,72,6,6,0,252,8,0,1968,1968,193500
1337,0,0,2,0,0,2,1337,0,1,4500,0,0,199,5,6,0,0,5,0,1998,1998,153500
1563,0,0,3,0,1,2,1563,0,1,10206,0,0,99,5,8,0,0,6,144,2007,2007,245000
1065,0,0,3,0,0,1,1065,1,1,8892,0,0,0,5,5,0,0,6,74,1960,1960,126500
804,670,0,3,0,1,2,1474,1,1,8530,0,700,72,5,7,0,0,7,120,1995,1996,168500
1301,1116,0,4,0,1,2,2417,1,1,16059,0,0,82,5,8,0,0,9,127,1991,1992,260000
684,876,0,3,0,1,2,1560,1,1,11911,0,0,38,5,6,0,0,6,100,2005,2005,174000
612,612,0,2,0,0,2,1224,1,1,3951,0,0,234,5,6,0,0,4,0,2009,2009,164500
1013,0,0,2,156,0,1,1526,0,1,8470,513,0,0,2,3,0,0,6,0,1915,1982,85000
990,0,0,3,0,0,1,990,0,1,8070,0,0,0,5,4,0,0,5,0,1994,1995,123600
1040,0,0,2,0,0,1,1040,0,1,7200,0,0,29,5,4,0,0,4,0,1950,1950,109900
1235,0,0,2,0,0,1,1235,0,1,8500,0,0,0,3,5,0,0,6,0,1961,1961,98600
964,0,0,2,44,0,1,964,0,1,13360,0,0,0,7,5,0,0,5,0,1921,2006,163500
1260,1031,0,4,0,1,2,2291,0,2,7200,0,0,0,6,6,0,99,9,0,1910,1998,133900
905,881,0,3,0,0,2,1786,1,1,9337,0,0,162,5,6,0,0,7,0,1997,1997,204750
680,790,0,3,0,1,2,1470,1,1,9765,0,480,63,8,6,0,0,6,232,1993,1993,185000
1588,0,0,3,0,0,2,1588,0,1,10264,0,0,29,5,7,0,0,6,158,1999,1999,214000
960,0,0,3,0,0,1,960,0,1,10921,0,0,0,5,4,0,0,6,120,1965,1965,94750
835,0,0,2,77,0,1,835,0,1,10625,0,400,0,5,5,0,0,5,0,1920,1950,83000
1225,0,0,3,0,0,1,1225,1,1,9320,0,400,0,5,4,0,0,6,352,1959,1959,128950
1610,0,0,3,0,2,2,1610,0,1,10603,0,0,68,7,6,0,0,6,168,1977,2001,205000
977,755,0,3,0,1,2,1732,1,1,9206,0,0,46,5,6,0,0,7,192,1985,1985,178000
1535,0,0,4,0,0,2,1535,0,2,7018,0,0,0,5,5,0,0,8,0,1979,1979,118964
1226,0,0,3,0,0,2,1226,0,1,10402,0,0,36,5,7,0,0,6,0,2009,2009,198900
1226,592,0,4,0,2,1,1818,1,1,7758,0,0,0,4,7,0,184,7,0,1931,1950,169500
1053,939,0,3,0,1,2,1992,1,1,9375,0,0,45,5,8,0,0,9,140,2003,2004,250000
1047,0,0,2,0,0,1,1047,0,1,10800,0,450,0,7,4,0,0,6,0,1885,1995,100000
789,0,0,2,0,0,1,789,0,1,6000,0,0,0,5,5,0,0,5,0,1948,1950,115000
997,520,0,3,144,0,2,1517,0,1,8500,0,0,0,7,5,0,0,7,0,1919,2005,115000
1844,0,0,3,0,1,2,1844,0,1,11751,0,0,122,6,6,0,0,7,0,1977,1977,190000
1216,639,0,4,0,0,2,1855,0,1,9525,0,0,0,4,6,0,0,7,182,1954,1972,136900
774,656,0,3,0,1,2,1430,1,1,7750,0,0,0,5,7,0,0,7,180,2000,2000,180000
1282,1414,0,4,0,1,2,2696,1,1,9965,0,0,184,5,7,0,168,10,120,2007,2007,383970
2259,0,0,3,192,2,2,2259,0,1,21000,0,0,120,5,6,0,0,7,166,1953,1953,217000
1436,884,0,3,0,1,2,2320,1,1,7259,0,0,0,8,6,0,0,9,224,1945,2002,259500
729,729,0,2,0,1,2,1458,1,1,3230,0,0,32,5,6,0,0,5,0,1999,1999,176000
1092,0,0,3,144,1,1,1092,0,1,11616,0,0,20,5,5,0,0,6,0,1962,1962,139000
1125,0,0,2,0,0,1,1125,1,1,8536,0,0,64,5,5,0,0,5,80,2006,2007,155000
1699,1523,0,5,0,2,3,3222,0,1,12376,0,0,0,5,7,0,0,11,367,1990,1990,320000
728,728,0,3,0,1,2,1456,1,1,8461,0,0,24,5,6,0,0,8,0,2005,2006,163990
988,0,130,1,0,2,1,988,0,1,21453,0,0,130,5,6,0,0,4,0,1969,1969,180000
772,351,0,3,140,0,1,1123,0,1,6060,0,0,0,5,4,0,0,4,0,1939,1950,100000
1080,0,0,3,0,0,1,1080,0,1,9464,0,0,0,7,6,0,130,5,0,1958,1958,136000
1199,0,0,2,0,0,2,1199,0,1,7892,0,0,63,5,6,0,0,5,0,1993,1993,153900
1586,0,0,3,0,1,2,1586,0,1,17043,0,0,0,5,6,0,0,7,192,1979,1998,181000
520,0,0,2,0,0,1,754,0,1,6780,234,0,0,8,6,0,0,5,53,1935,1982,84500
958,0,0,2,0,1,2,958,0,1,4928,0,0,205,5,6,0,0,5,0,1976,1976,128000
840,0,0,3,0,1,1,840,0,1,4388,0,0,0,7,5,0,0,5,0,1930,1950,87000
660,688,0,3,0,1,1,1348,1,1,7590,0,0,108,5,6,0,0,6,188,1966,1966,155000
1053,0,180,3,0,0,1,1053,1,1,8973,0,0,80,7,5,0,0,6,0,1958,1991,150000
1216,941,0,4,0,2,2,2157,1,1,14200,0,0,66,6,7,0,0,8,105,1966,1966,226000
1022,1032,0,3,0,1,2,2054,1,1,12224,0,0,48,5,6,0,0,7,24,2000,2000,244000
1327,0,0,3,0,0,1,1327,0,1,7388,0,0,0,6,5,0,0,7,0,1959,2002,150750
1296,0,0,2,0,0,2,1296,0,1,6853,0,0,25,5,8,0,0,6,192,2001,2002,220000
1721,0,0,3,180,1,2,1721,1,1,10335,0,0,96,6,5,0,0,7,0,1968,1993,180000
1682,0,0,3,0,1,2,1682,0,1,10400,0,0,0,6,7,0,0,7,98,1970,1970,174000
1214,0,0,3,0,1,2,1214,0,1,10355,0,0,111,5,5,0,0,5,0,1967,1967,143000
1959,0,0,5,0,0,3,1959,0,2,11070,0,0,0,5,7,0,0,9,0,1988,1989,171000
1004,848,0,3,0,2,2,1852,1,1,9066,0,0,106,5,8,0,0,7,224,1999,2000,230000
928,836,0,3,0,0,2,1764,1,1,15426,0,0,99,5,6,0,0,7,276,1997,1997,231500
864,0,0,3,0,1,1,864,0,1,10500,0,0,0,5,4,0,0,5,0,1971,1971,115000
1734,0,0,3,0,0,2,1734,0,1,11645,0,0,24,5,7,0,0,7,160,2005,2005,260000
910,475,0,4,0,0,2,1385,0,1,8520,0,0,0,4,5,0,0,6,0,1952,1952,166000
1501,0,0,3,0,0,2,1501,0,1,10335,0,0,29,5,7,0,0,6,144,1999,1999,204000
1728,0,0,6,0,0,2,1728,0,2,9100,0,0,0,5,5,0,0,10,0,1963,1963,125000
970,739,0,3,0,0,2,1709,0,1,2522,0,0,40,5,6,0,0,7,0,2004,2006,130000
875,0,0,2,0,0,1,875,0,1,6120,0,0,0,7,5,0,0,5,48,1931,1993,105000
884,1151,0,3,0,1,2,2035,1,1,9505,0,0,48,5,7,0,0,8,144,2001,2001,222500
1080,0,0,3,0,0,1,1080,0,1,7500,0,0,0,5,7,0,0,6,0,2004,2005,141000
896,448,0,3,0,0,1,1344,0,1,6240,0,0,114,4,5,0,0,7,200,1936,1950,115000
969,0,0,3,0,0,1,969,1,1,10356,0,0,0,6,5,0,0,5,0,1975,1975,122000
1710,0,0,2,0,1,2,1710,0,1,13891,0,0,102,5,8,0,0,6,0,2007,2008,372402
1097,896,0,4,0,1,2,1993,1,1,14803,0,0,66,5,6,0,0,8,0,1971,1971,190000
1252,0,0,1,0,1,1,1252,0,1,13500,0,0,0,7,6,0,0,4,409,1960,1975,235000
1200,0,0,4,228,0,1,1200,0,1,11340,0,0,0,5,6,0,0,7,0,1923,1950,125000
572,524,0,2,128,0,1,1096,0,1,9600,0,0,8,5,6,0,0,5,0,1924,1950,79000
1040,0,0,2,0,0,1,1040,0,1,7200,0,0,0,7,5,0,0,5,0,1950,1950,109500
774,1194,0,4,0,1,2,1968,1,1,12003,0,0,75,5,8,0,0,8,0,2009,2010,269500
991,956,0,3,0,1,2,1947,1,1,12552,0,0,136,5,7,0,0,8,0,2004,2005,254900
1392,1070,168,4,0,1,2,2462,1,1,19378,0,0,132,5,7,0,0,9,239,2005,2006,320000
1232,0,0,3,0,0,2,1232,0,1,11120,0,0,0,6,6,0,0,6,0,1984,1984,162500
1572,1096,0,3,0,2,2,2668,1,1,13688,0,0,0,5,9,0,0,10,400,2003,2004,412500
1541,0,0,3,0,1,2,1541,0,1,12182,0,0,70,5,7,0,0,7,0,2005,2005,220000
882,0,0,1,0,0,1,882,0,1,5500,0,0,0,6,4,0,0,4,0,1956,1956,103200
1149,467,0,3,183,0,2,1616,0,1,5400,0,0,0,7,6,0,0,5,0,1926,2004,152000
808,547,0,4,0,0,2,1355,0,2,10106,0,0,0,7,5,0,0,6,140,1940,1999,127500
1867,0,0,2,0,3,1,1867,0,1,10708,0,0,0,5,5,0,142,7,476,1955,1993,190000
1610,551,0,3,0,1,1,2161,1,1,10562,0,0,120,5,8,0,0,8,178,2007,2007,325624
840,880,0,3,0,1,2,1720,1,1,8244,0,0,48,5,7,0,0,7,100,2004,2004,183500
1707,0,0,2,0,1,2,1707,1,1,16669,0,0,64,6,8,0,0,6,574,1981,1981,228000
854,0,0,2,0,0,1,1382,1,1,12358,528,0,0,6,5,0,0,7,237,1941,1950,128500
1656,0,0,3,0,2,1,1656,0,1,31770,0,0,62,5,6,0,0,7,210,1960,1960,215000
1064,703,0,2,0,1,2,1767,0,1,5306,0,0,35,7,7,0,0,5,441,1987,1987,239000
1362,0,0,3,0,1,1,1362,1,1,10197,0,0,20,5,6,0,0,6,0,1961,1961,163000
1651,0,0,3,0,1,2,1651,0,1,12416,0,0,0,5,6,0,0,7,192,1986,1986,184000
2158,0,0,4,39,1,2,2158,0,1,12615,0,0,29,7,6,0,0,7,0,1950,2001,243000
1164,896,0,4,0,1,2,2060,1,1,10029,0,0,228,5,6,0,192,8,0,1988,1989,211000
1252,668,0,4,0,1,2,1920,0,1,13650,0,0,0,5,5,0,0,8,0,1958,1958,172500
2234,0,0,1,0,1,2,2234,0,1,17423,0,0,60,5,9,0,0,9,0,2008,2009,501837
968,0,0,2,184,0,1,968,0,1,8520,0,0,0,6,5,0,0,5,0,1923,2006,100000
769,756,0,3,0,1,2,1525,1,1,2117,0,0,0,5,6,0,0,5,0,2000,2000,177000
901,901,0,4,40,1,1,1802,1,1,7588,0,0,0,6,7,0,0,9,0,1920,1950,200100
1340,0,180,3,0,1,1,1340,0,1,9060,0,0,0,6,5,0,0,7,116,1957,2006,120000
1362,720,0,3,0,0,2,2082,1,1,11426,0,0,238,5,7,0,0,6,280,2003,2003,200000
936,316,0,3,0,0,1,1252,0,1,7438,0,0,0,8,5,0,0,5,104,1908,1991,127000
1518,1518,0,4,0,2,2,3608,1,1,22950,572,0,260,9,10,0,410,12,0,1892,1993,475000
1217,0,0,3,0,0,2,1217,0,1,9947,0,0,27,5,7,0,0,6,168,1990,1991,173000
808,704,140,3,0,0,2,1656,1,1,10410,144,0,0,7,5,0,0,8,0,1916,1987,135000
1224,0,0,2,0,2,0,1224,2,2,7018,0,0,0,5,5,0,0,6,120,1979,1979,153337
1593,0,0,0,0,1,1,1593,1,1,4923,0,0,120,5,8,0,224,5,0,2001,2002,286000
1549,1178,0,3,0,2,2,2727,1,1,10570,0,0,74,8,8,0,0,10,0,1932,1994,315000
725,754,0,4,0,0,1,1479,1,1,7472,0,0,32,9,7,0,0,7,0,1972,2004,184000
1431,0,0,3,0,0,2,1431,0,1,9017,0,0,35,5,7,0,0,6,0,1999,1999,192000
970,739,0,3,0,0,2,1709,0,1,2522,0,0,40,5,7,0,0,7,0,2004,2004,130000
864,0,0,3,0,0,1,864,0,1,7180,0,0,0,7,5,0,0,5,0,1972,1972,127000
855,601,0,3,0,1,2,1456,1,1,2280,0,0,0,6,6,0,0,7,87,1976,1976,148500
1726,0,0,3,0,1,2,1726,0,1,9416,0,0,138,5,7,0,266,8,171,2007,2007,311872
1360,1360,0,4,552,1,2,3112,0,1,25419,392,0,16,4,8,512,0,8,0,1918,1990,235000
929,929,0,5,30,0,1,2229,0,1,5520,371,0,198,6,6,0,0,8,0,1912,1950,104000
1713,0,0,3,0,1,2,1713,0,1,9591,0,0,26,5,8,0,170,7,0,2004,2005,274900
1121,0,0,2,0,0,2,1121,0,1,8546,0,0,64,5,4,0,0,5,132,2003,2004,140000
1279,0,0,3,0,2,2,1279,0,1,10125,0,0,83,6,6,0,0,6,238,1977,1977,171500
865,445,0,2,126,0,2,1310,0,1,7000,0,0,0,6,6,0,0,6,0,1924,1950,112000
848,0,0,1,0,1,1,848,0,1,4438,0,0,0,5,6,0,0,3,149,2004,2004,149000
720,564,0,2,0,0,1,1284,1,1,3500,0,0,35,7,5,0,0,5,0,1947,1950,110000
1442,0,508,3,0,0,2,1442,0,1,11851,0,0,34,5,7,0,0,5,0,1990,1990,180500
1696,0,0,3,0,1,1,1696,1,1,13673,0,0,30,5,5,0,0,8,0,1962,1962,143900
1100,0,0,3,0,1,1,1100,0,1,12493,0,0,0,5,4,0,0,6,355,1960,1960,141000
1180,882,0,3,0,1,2,2062,1,1,14364,0,0,55,5,7,0,154,7,60,1988,1989,277000
1092,0,0,3,0,0,1,1092,0,1,8250,0,0,0,7,6,0,0,6,0,1964,1964,145000
864,0,0,2,96,0,1,864,0,1,5604,0,0,0,6,5,0,0,5,0,1925,1950,98000
1212,0,0,3,0,0,2,1212,0,1,10420,0,0,22,5,6,0,0,6,100,2009,2009,186000
932,920,0,3,0,1,2,1852,1,1,8640,0,0,108,5,7,0,0,7,168,2009,2009,252678
990,0,0,3,0,0,1,990,0,1,13568,0,0,0,5,5,0,0,5,224,1995,1995,156000
689,703,0,3,0,0,1,1392,1,1,10900,0,450,36,7,6,0,0,6,0,1977,1977,161750
1236,0,0,2,0,1,1,1236,0,1,10011,0,0,0,6,5,0,0,6,0,1957,1996,134450
1436,0,0,3,0,0,2,1436,0,1,8450,0,0,98,5,7,0,0,8,139,2004,2004,210000
810,518,0,3,60,0,1,1328,0,1,9906,0,0,172,4,4,0,0,8,0,1925,1950,107000
1137,817,0,3,150,2,1,1954,1,1,15660,0,0,119,9,7,0,0,8,0,1939,2006,311500
1248,0,0,2,0,0,2,1248,0,1,3010,0,0,0,5,7,0,0,5,108,2005,2006,167240
1498,0,0,2,0,0,2,1498,0,1,8990,0,0,33,5,7,0,0,5,351,2006,2006,204900
1010,1257,0,4,0,1,2,2267,1,1,8068,0,0,46,5,6,0,0,8,120,2002,2002,200000
811,741,0,3,0,1,2,1552,1,1,11475,0,0,208,6,6,0,0,6,209,1975,1975,179900
864,0,0,2,0,0,1,864,0,1,10500,0,0,0,6,4,0,0,4,216,1971,1971,97000
2392,0,0,3,0,1,2,2392,0,1,13472,0,0,105,5,10,0,0,8,248,2003,2003,386250
630,672,0,3,0,0,2,1302,1,1,1680,0,0,0,5,5,0,0,6,0,1971,1971,112000
1214,1306,0,4,0,1,2,2520,1,1,9950,0,0,114,5,7,0,0,9,224,1995,1995,290000
483,504,0,2,0,0,1,987,1,1,1869,0,0,0,6,6,0,0,5,0,1970,1970,106000
912,0,0,3,0,1,1,912,0,1,8521,0,0,0,5,5,0,0,5,0,1967,1967,125000
1555,0,0,2,0,1,2,1555,0,1,3182,0,0,20,5,7,0,0,7,143,2005,2006,192500
1194,0,0,3,120,0,1,1194,0,1,8760,0,0,0,6,6,0,0,6,0,1959,1959,148000
1490,1304,0,4,202,1,2,2794,1,1,15138,0,0,146,5,8,0,0,9,0,1995,1996,403000
483,504,0,2,0,1,1,987,1,1,1680,0,0,0,5,6,0,0,5,0,1972,1972,94500
894,0,0,3,0,0,1,894,0,1,10650,0,0,0,6,5,0,0,5,365,1976,1976,128200
860,1100,0,4,0,2,2,1960,1,1,7851,0,0,48,5,6,0,0,8,288,2002,2002,216500
483,504,0,2,0,0,1,987,1,1,1680,0,0,0,3,6,0,0,5,0,1971,1971,89500
1414,0,0,3,0,0,2,1414,0,1,8773,0,0,105,5,7,0,0,6,132,2004,2004,185500
1014,730,238,3,0,0,2,1744,1,1,9453,0,0,70,7,7,0,0,7,370,1993,2003,194500
1694,0,0,3,0,0,2,1694,0,1,12030,0,0,228,5,8,0,0,7,168,2007,2007,318000
798,689,0,3,0,1,1,1487,1,1,8741,0,0,140,4,6,0,0,7,0,1945,1950,113000
1566,0,0,3,0,0,2,1566,0,1,9000,0,0,168,5,8,0,0,7,144,2008,2008,262500
866,0,0,2,0,0,1,866,0,1,3880,0,0,42,9,5,0,0,4,58,1945,1997,110500
889,551,0,3,77,0,1,1440,0,1,5000,0,0,0,4,5,0,0,6,0,1900,1950,79000
626,591,0,3,0,1,1,1217,1,1,10762,0,0,28,6,6,0,0,6,0,1980,1980,120000
1222,888,0,3,0,2,2,2110,1,1,8880,0,0,130,5,7,0,0,8,0,1994,2002,205000
1872,0,0,3,0,1,2,1872,0,1,10400,0,0,39,5,7,0,0,6,197,1988,1988,241500
908,1020,0,4,112,0,2,1928,0,2,9142,0,0,60,8,6,0,0,9,0,1910,1950,137000
1375,0,0,2,0,1,1,1375,0,1,11310,0,0,30,5,6,0,0,5,0,1954,1954,140000
840,828,0,3,0,0,2,1668,1,1,11317,0,0,68,5,7,0,0,8,144,2003,2003,180000
1444,700,0,4,0,2,2,2144,0,1,159000,0,500,98,7,6,0,0,7,0,1958,2006,277000
1306,0,0,3,0,0,1,1306,0,1,5350,0,450,0,2,3,0,0,6,263,1940,1966,76500
1625,0,0,2,0,1,2,1625,0,1,4750,0,0,0,5,8,0,153,5,123,2006,2007,235000
798,842,0,3,0,0,2,1640,1,1,8366,0,0,45,5,6,0,0,6,138,2004,2004,173000
1302,0,0,3,0,0,2,1302,0,1,9350,0,0,0,7,6,0,0,7,333,1964,1991,158000
1314,0,0,3,0,0,1,1314,0,1,8400,0,0,0,6,5,0,0,5,250,1957,1957,145000
1005,1286,0,4,0,1,2,2291,1,1,8738,0,0,0,5,7,0,0,8,192,1999,1999,230000
864,864,0,3,0,0,2,1728,1,1,8791,0,0,56,5,6,0,0,7,216,2003,2003,207500
1604,0,0,3,0,1,2,1604,1,1,8814,0,0,110,5,7,0,0,8,123,2006,2006,220000
963,829,245,3,0,1,2,1792,1,1,12435,0,0,96,5,7,0,0,7,0,2001,2001,231500
882,0,0,2,0,0,1,882,0,1,12702,0,0,45,5,5,0,0,4,0,1956,1956,97000
1382,0,0,3,252,1,1,1382,0,1,19296,0,0,0,5,6,0,0,6,0,1962,1962,176000
1482,1092,0,3,0,1,2,2574,1,1,9588,0,0,148,5,8,0,0,10,0,2007,2007,276000
1212,0,0,3,0,1,1,1212,0,1,8471,0,0,12,7,6,0,0,6,292,1977,1995,151000
926,0,0,3,0,0,1,1316,0,1,5500,390,0,0,7,5,0,0,6,0,1929,2001,130000
